Timestamp,Sensor,Medicion,Valor,IP_Origen
1775797255.448159,boton_test_local,pulsacion,1,127.0.0.1
1775797255.657973,boton_test_local,pulsacion,0,127.0.0.1
1775797255.939912,boton_test_local,pulsacion,1,127.0.0.1
1775797256.136747,boton_test_local,pulsacion,0,127.0.0.1
1775797256.335078,boton_test_local,pulsacion,1,127.0.0.1
1775797256.5161,boton_test_local,pulsacion,0,127.0.0.1
1775797256.69131,boton_test_local,pulsacion,1,127.0.0.1
1775797256.901535,boton_test_local,pulsacion,0,127.0.0.1
1775797257.142033,boton_test_local,pulsacion,1,127.0.0.1
1775797258.458041,boton_test_local,pulsacion,0,127.0.0.1
1775797670.709857,boton_test_local,pulsacion,1,127.0.0.1
1775797671.268441,boton_test_local,pulsacion,0,127.0.0.1
1775797671.271403,boton_test_local,pulsacion,1,127.0.0.1
1775797671.27411,boton_test_local,pulsacion,0,127.0.0.1
1775797675.509438,boton_test_local,pulsacion,1,127.0.0.1
1775797676.080405,boton_test_local,pulsacion,0,127.0.0.1
1775797676.08397,boton_test_local,pulsacion,1,127.0.0.1
1775797676.086127,boton_test_local,pulsacion,0,127.0.0.1
1775797676.088178,boton_test_local,pulsacion,1,127.0.0.1
1775797676.090162,boton_test_local,pulsacion,0,127.0.0.1
1775797676.571245,boton_test_local,pulsacion,1,127.0.0.1
1775797676.893913,boton_test_local,pulsacion,0,127.0.0.1
1775797677.256029,boton_test_local,pulsacion,1,127.0.0.1
1775797677.52294,boton_test_local,pulsacion,0,127.0.0.1
1775797677.525656,boton_test_local,pulsacion,1,127.0.0.1
1775797677.52792,boton_test_local,pulsacion,0,127.0.0.1
1775797677.811902,boton_test_local,pulsacion,1,127.0.0.1
1775797678.030926,boton_test_local,pulsacion,0,127.0.0.1
1775797678.421823,boton_test_local,pulsacion,1,127.0.0.1
1775797679.254029,boton_test_local,pulsacion,0,127.0.0.1
1775797712.871279,boton_test_local,pulsacion,1,127.0.0.1
1775797713.002692,boton_test_local,pulsacion,0,127.0.0.1
1775797713.121141,boton_test_local,pulsacion,1,127.0.0.1
1775797713.228292,boton_test_local,pulsacion,0,127.0.0.1
1775797713.348804,boton_test_local,pulsacion,1,127.0.0.1
1775797713.439126,boton_test_local,pulsacion,0,127.0.0.1
1775797713.541051,boton_test_local,pulsacion,1,127.0.0.1
1775797713.613181,boton_test_local,pulsacion,0,127.0.0.1
1775797713.707092,boton_test_local,pulsacion,1,127.0.0.1
1775797713.759621,boton_test_local,pulsacion,0,127.0.0.1
1775797883.596695,boton_test_local,pulsacion,1,127.0.0.1
1775797883.965574,boton_test_local,pulsacion,0,127.0.0.1
